Nama Restoran,Preferensi Makanan,Lokasi Restoran,Harga Rata-Rata Makanan di Toko (Rp),Rating Toko,Jenis Suasana,Toko Sering Diskon (Ya/Tidak),Variasi Makanan,Pelayanan Khusus Pasangan (Ya/Tidak),Entertainment,Keramaian Restoran,Disajikan atau Ambil Sendiri,All You Can Eat atau Ala Carte,Latitude,Longitude
"Waroeng Steak and Shake, HOS Cokroaminoto",Western,4.24 km,40000,4.7,Santai,Tidak,Western,Tidak,2,3,Disajikan,Ala Carte,-7.797553133,110.352271
"Kebab Turki Baba Rafi, Tegalrejo",Western,4.42 km,38000,4,Santai,Ya,"Western, Middle Eastern, Snacks",Tidak,1,2,Disajikan,Ala Carte,-7.791768218,110.3533876
"Madam Tan Indonesian Food, Gondokusuman",Western,4.4 km,30000,4.6,Santai,Tidak,"Western, Pizza & pasta, Noodles, Seafood",Tidak,2,2,Disajikan,Ala Carte,-7.773834889,110.3751776
"Yamie Panda, Jalan Solo",Chinese,3.53 km,28000,4.7,Santai,Ya,"Chinese, Bakmie",Ya,3,2,Disajikan,Ala Carte,-7.789912,110.3854042
Soto Lamongan Cak Mangku,Indonesia,1.34 km,18000,4.6,Santai,Tidak,Bakso & soto,Tidak,1,1,Disajikan,Ala Carte,-7.801906154,110.3929427
"Soto Bu Kamto, Umbulharjo",Indonesia,0.93 km,15000,4.4,Santai,Tidak,"Bakso & soto, Aneka nasi, Ayam & bebek",Tidak,3,1,Disajikan,Ala Carte,-7.780392774,110.3603049
Bakso Ceker Mercon dan Penyetan Mayang Sidikan,Indonesia,0.78 km,18000,4,Santai,Ya,"Bakso & soto, Aneka nasi, Korea",Tidak,1,2,Disajikan,Ala Carte,-7.819170652,110.3846414
"Mie Ayam & Bakso Idolaku Pak Tikno, Tamansiswa",Indonesia,1.2 km,30000,4.7,Santai,Ya,"Bakso & soto, Bakmie",Tidak,1,2,Disajikan,Ala Carte,-7.812092148,110.3765407
"Soto Daging Sapi Lamongan Cak Sodik, Jl Veteran,umbuhalrjo",Indonesia,0.42 km,22000,4.4,Santai,Tidak,"Bakso & soto, Minuman, Cepat saji",Tidak,4,2,Disajikan,Ala Carte,-7.816021467,110.3854758
"YOSHINOYA BEEF BOWL, Kaliurang Jogja",Japanese,5.73 km,64000,4.8,Formal,Tidak,"Fast food, Japanese, Chicken & duck, Rice, Coffee",Tidak,1,2,Disajikan,Ala Carte,-7.761334981,110.3804058
"Melt Salad Fresh n Healthy Food, Sukun Raya",Western,3.04 km,19000,4.8,Santai,Tidak,"Fast food, Sweets, Western",Tidak,3,2,Disajikan,Ala Carte,-7.792448989,110.4059652
"Nasi Bakar Lagi Dan Mendoan Jumbo ""Mbakayune"", Umbulharjo",Indonesia,1.45 km,20000,4.7,Santai,Ya,"Jajanan, Aneka nasi, Bakso & soto",Tidak,4,2,Disajikan,Ala Carte,-7.823840916,110.3834963
"Oriyamie, Kusumanegara",Indonesia,1.26 km,20000,3.7,Santai,Ya,"Jajanan, Bakso & soto, Bakmie",Tidak,1,1,Disajikan,Ala Carte,-7.755631416,110.3791139
"Ichiban Sushi, Plaza Malioboro",Japanese,3.24 km,52000,4.6,Formal,Tidak,Japanese,Tidak,3,3,Disajikan,Ala Carte,-7.792763678,110.3662837
"Banzai, Tegalrejo",Japanese,5.03 km,49000,4.8,Formal,Tidak,"Japanese, Fast food, Rice",Tidak,1,1,Disajikan,Ala Carte,-7.777097408,110.4083487
"Nakdang, Banguntapan",Japanese,3.28 km,33000,4.6,Santai,Tidak,"Japanese, Rice, Chicken & duck",Tidak,4,2,Disajikan,Ala Carte,-7.8236961,110.3204497
"Boga Kitchen, Selokan Yogya",Japanese,5.11 km,82000,4.6,Santai,Ya,"Japanese, Rice, Fast food, Chicken & duck",Tidak,2,3,Disajikan,Ala Carte,-7.782647372,110.3558998
"Por Aqui Resto & IRD, Prawirotaman",Western,1.88 km,33000,4.6,Santai,Tidak,"Rice, Beverages, Western",Tidak,3,1,Disajikan,Ala Carte,-7.818952527,110.3716084
"Ayam Geprek Dan Katsu KALARASA, Umbulharjo",Japanese,1.02 km,18000,4.7,Santai,Ya,"Rice, Fast food, Japanese",Tidak,1,2,Disajikan,Ala Carte,-7.820508187,110.3909276
"Nasi Mangkok Uncle Dave, Depok/Caturtunggal/Seturan",Japanese,5.89 km,21000,4.6,Santai,Tidak,"Rice, Fast food, Japanese",Tidak,3,1,Disajikan,Ala Carte,-7.764479174,110.4096203
"Ramen Kanbai, Babarsari",Japanese,5.03 km,27000,4.3,Santai,Tidak,"Sweets, Japanese, Noodles",Tidak,2,3,Disajikan,Ala Carte,-7.773749608,110.410862
"Boom Burger, Mergangsan",Western,1.2 km,37000,4.6,Santai,Tidak,Western,Tidak,2,3,Disajikan,Ala Carte,-7.77721875,110.4083353
"Burger Bros, Seturan",Western,4.56 km,40000,4.7,Santai,Tidak,Western,Tidak,2,1,Disajikan,Ala Carte,-7.764438924,110.4108498
"Monalisa Burger Sisingamangaraja, seberang BDS syariah",Western,1.77 km,33000,4.7,Santai,Tidak,Western,Tidak,3,3,Disajikan,Ala Carte,-7.812101701,110.3733396
"Choky Spaghetti Steak, Sugiyono",Western,1.93 km,24000,4.7,Santai,Tidak,"Western, Rice",Tidak,4,3,Disajikan,Ala Carte,-7.814815838,110.3700773
"Steak Box, Gondokusuman, Kotabaru",Western,3.64 km,27000,4.5,Santai,Tidak,"Western, Rice, Fast food",Tidak,2,2,Disajikan,Ala Carte,-7.783314712,110.3725495
"Ta Wan, Malioboro",Chinese,3.24 km,56000,4.7,Formal,Ya,"Aneka nasi, Ayam & bebek, Chinese",Ya,1,2,Disajikan,Ala Carte,-7.792742748,110.3660905
"Yamie Panda, Lippo Mall Jogja",Chinese,3.26 km,28000,4.6,Santai,Ya,"Bakmie, Chinese",Ya,4,1,Disajikan,Ala Carte,-7.783817663,110.3906678
"Yamie Panda, Tamansiswa",Chinese,1.18 km,28000,4.7,Santai,Ya,"Chinese, Bakmie",Ya,4,3,Disajikan,Ala Carte,-7.811213336,110.3769639
Pondok Damai Mbah Tin,Chinese,3.54 km,23000,4.5,Santai,Ya,"Aneka nasi, Bakmie, Chinese",Tidak,1,3,Disajikan,Ala Carte,-7.811998995,110.3869864
"Mie Ayam Pancoran, Glagahsari",Indonesia,0.51 km,21000,3.9,Santai,Tidak,"Bakmie, Bakso & soto",Tidak,1,3,Disajikan,Ala Carte,-7.808131334,110.3876472
"Mie Kita Orang, Pasar Kranggan Lantai 2",Chinese,4.14 km,20000,4.2,Santai,Tidak,"Bakmie, Chinese",Tidak,4,3,Disajikan,Ala Carte,-7.782435422,110.3654419
"Bakso Cak Masrur, Timoho",Indonesia,1.58 km,43000,4.6,Santai,Tidak,Bakso & soto,Tidak,2,2,Disajikan,Ala Carte,-7.798886852,110.3909202
Mie Ayam Dan Bakso Urat Sari Roso Wonogiri,Indonesia,0.25 km,17000,4.7,Santai,Ya,Bakso & soto,Tidak,4,2,Disajikan,Ala Carte,-7.851660864,111.2691423
Soto Daging Sapi Lamongan Cak Lim,Indonesia,0.39 km,22000,4.6,Santai,Tidak,"Bakso & soto, Cepat saji, Aneka nasi",Tidak,2,3,Disajikan,Ala Carte,-7.8160315,110.3755927
"Etnik Kafe, Mergangsan",Chinese,1.87 km,23000,4.3,Santai,Tidak,"Chinese, Aneka nasi, Ayam & bebek",Tidak,2,1,Disajikan,Ala Carte,-7.808361858,110.3707998
Bakso Bakar Sosis Bakar Depokan,Indonesia,1.15 km,22000,4.4,Santai,Tidak,"Jajanan, Bakso & soto, Bakmie",Tidak,4,1,Disajikan,Ala Carte,-7.817542555,110.3966764
"HokBen, Malioboro Mall",Japanese,3.25 km,49000,4.7,Formal,Tidak,Japanese,Tidak,3,3,Disajikan,Ala Carte,-7.792629478,110.3660643
Silla Korean & Japanese Restaurant,Japanese,6.13 km,85000,4.8,Formal,Tidak,"Japanese, Korean",Tidak,2,1,Disajikan,Ala Carte,-7.757337171,110.3864515
"Aqori Angkringan Jepang, Kuliner Lor Tugu",Japanese,4.08 km,23000,4.4,Santai,Tidak,"Japanese, Snacks",Tidak,1,3,Disajikan,Ala Carte,-7.771580556,110.4016414
Bakso Urat dan Mie Ayam Krowal Krowel,Indonesia,1.38 km,15000,3.5,Santai,Tidak,"Minuman, Bakso & soto, Bakmie",Tidak,1,3,Disajikan,Ala Carte,-7.8253318,110.3760607
Bubur Ayam Bang Opik,Chinese,1.52 km,18000,4.5,Santai,Tidak,"Minuman, Cepat saji, Chinese",Tidak,3,1,Disajikan,Ala Carte,-7.818047406,110.3748508
"Sun Rice Bowl, Panggungharjo",Japanese,4.95 km,28000,4.7,Santai,Tidak,"Rice, Chicken & duck, Japanese",Tidak,3,2,Disajikan,Ala Carte,-7.752550677,110.4091308
"Sate Kambing Pak Tomek, Ngentak",Indonesia,3.06 km,22000,4.5,Santai,Tidak,"Sate, Aneka nasi, Bakso & soto",Tidak,3,3,Disajikan,Ala Carte,-7.786602474,110.3961961
"Seafood 99, Sorogenen",Chinese,1.4 km,32000,4.7,Santai,Tidak,"Seafood, Aneka nasi, Chinese",Tidak,4,1,Disajikan,Ala Carte,-7.825251458,110.3851288
"Lawson Shop, Imogiri Barat",Japanese,5.49 km,44000,4.7,Formal,Tidak,"Snacks, Beverages, Japanese, Coffee, Korean",Tidak,4,3,Disajikan,Ala Carte,-7.857645848,110.3748647
"Lawson Shop, Sorowajan",Japanese,2.75 km,44000,4.7,Formal,Tidak,"Snacks, Beverages, Japanese, Coffee, Korean",Tidak,4,2,Disajikan,Ala Carte,-7.790487519,110.3984665
"Burgerax, Gedongkuning",Western,1.64 km,38000,4.5,Santai,Tidak,"Snacks, Fast food, Western",Tidak,1,2,Disajikan,Ala Carte,-7.810063235,110.401964
"Hawker's Steak, JEC",Western,2.41 km,28000,4.5,Formal,Tidak,Western,Tidak,2,1,Disajikan,Ala Carte,-7.799622,110.3924594
"Pizza Aroma Italia 2, Gondokusuman",Western,2.37 km,107000,4.8,Formal,Tidak,"Western, Pizza & pasta",Tidak,2,2,Disajikan,Ala Carte,-7.793493149,110.3780139
"Blengerr, Hayam Wuruk",Chinese,2.73 km,34000,4.7,Santai,Ya,"Aneka nasi, Ayam & bebek, Chinese",Tidak,4,3,Disajikan,Ala Carte,-7.792565078,110.3732175
"Nasi Goreng dan Chinese Food Abah, Prawirotaman",Chinese,2.11 km,22000,4.8,Santai,Tidak,"Bakmie, Chinese, Aneka nasi",Tidak,1,1,Disajikan,Ala Carte,-7.820675621,110.3701821
Bakso Rahayu,Indonesia,1.47 km,14000,4.5,Santai,Tidak,Bakso & soto,Tidak,1,1,Disajikan,Ala Carte,-7.741574325,110.3626949
BAKSO URAT CAK EKA AREMA MALANG JATIM,Indonesia,3.01 km,16000,4.4,Santai,Tidak,Bakso & soto,Tidak,4,3,Disajikan,Ala Carte,-7.7975364,110.399494
"Soto Sapi Winong, Ngeksigondo",Indonesia,1.13 km,25000,4.9,Santai,Tidak,Bakso & soto,Tidak,4,2,Disajikan,Ala Carte,-7.819016423,110.3955941
"Mr. Teto Sate & Soto, Perintis Kemerdekaan",Indonesia,0.85 km,27000,4.8,Santai,Tidak,"Bakso & soto, Sate",Tidak,2,1,Disajikan,Ala Carte,-7.8186809,110.382439
"Steak 36 Kusumanegara, No.222 , Kota Yogyakarta",Western,1.51 km,24000,4.5,Santai,Tidak,"Chicken & duck, Western",Tidak,3,3,Disajikan,Ala Carte,-7.799879806,110.3762357
"Petit Paris Boulangerie and Bistro, Kotabaru",Western,3.22 km,103000,4.5,Formal,Tidak,"Chicken & duck, Western, Fast food",Tidak,3,2,Disajikan,Ala Carte,-7.788171555,110.3720125
"A&M Co. Express, Jogja",Japanese,3.95 km,75000,4.6,Formal,Tidak,"Fast food, Japanese",Tidak,4,1,Disajikan,Ala Carte,-7.82139948,110.368301
"Ayam Serundeng, Nitikan",Indonesia,1 km,21000,4.6,Santai,Tidak,"Jajanan, Aneka nasi, Bakso & soto",Tidak,3,3,Disajikan,Ala Carte,-7.820063669,110.3825211
"Hakata Ikkousha, Hartono Mall",Japanese,6.19 km,64000,4.6,Formal,Tidak,Japanese,Tidak,4,3,Disajikan,Ala Carte,-7.759774642,110.3991306
"Shigeru Sushi, Pakuwon Mall Yogyakarta",Japanese,6.1 km,50000,4.5,Formal,Ya,Japanese,Tidak,1,1,Disajikan,Ala Carte,-7.759316958,110.399229
"Kimukatsu, Hartono Mall",Japanese,5.94 km,67000,4.8,Formal,Tidak,"Japanese, Rice, Chicken & duck",Tidak,3,3,Disajikan,Ala Carte,-7.760782,110.3888315
"Beef Mafia, Selokan Yogya",Japanese,5.11 km,70000,4.8,Formal,Ya,"Japanese, Rice, Fast food, Chicken & duck",Tidak,4,1,Disajikan,Ala Carte,-7.775917534,110.4062254
"Genki Sushi, Plaza Ambarrukmo",Japanese,3.74 km,58000,4.7,Formal,Tidak,"Japanese, Rice, Snacks",Tidak,1,2,Disajikan,Ala Carte,-7.782006422,110.4012984
"K'Meals Bar & Restaurant, Prawirotaman",Western,2.02 km,40000,4.8,Formal,Tidak,"Pizza & pasta, Beverages, Western",Tidak,2,1,Disajikan,Ala Carte,-7.819172159,110.3703937
"Ganbate Kitchen, Widya Mataram",Japanese,3.3 km,31000,4.4,Santai,Tidak,"Rice, Chicken & duck, Japanese",Tidak,4,2,Disajikan,Ala Carte,-7.744678542,110.4184835
"AB Oriental Streetfood, Pedak",Japanese,3.14 km,32000,4.7,Santai,Ya,"Rice, Fast food, Japanese",Tidak,2,2,Disajikan,Ala Carte,-7.751733169,110.4089436
"Steak Moen-Moen, Galeria Mall",Western,3.47 km,26000,4.4,Formal,Tidak,Western,Tidak,4,3,Disajikan,Ala Carte,-7.781641811,110.3789289
"Steak Up, Mlati",Western,4.13 km,88000,4.6,Santai,Tidak,Western,Tidak,2,1,Disajikan,Ala Carte,-7.753222914,110.3597965
"Kebab Burger 26, Kotagede",Western,1.8 km,19000,4.3,Santai,Tidak,"Western, Fast food",Tidak,3,2,Disajikan,Ala Carte,-7.825790501,110.3974531
"Pothz Burger, STM Pembangunan",Western,4.48 km,27000,4.6,Santai,Tidak,"Western, Fast food",Tidak,3,1,Disajikan,Ala Carte,-7.772648387,110.3918134
Warung Buto,Chinese,2.2 km,43000,4.7,Santai,Tidak,"Aneka nasi, Chinese, Sate",Tidak,1,1,Disajikan,Ala Carte,-7.804675497,110.3693843
"Mie Surabaya Pak Joko, Gedongkuning Selatan",Chinese,1.62 km,18000,4.7,Santai,Tidak,"Bakmie, Aneka nasi, Chinese",Tidak,4,3,Disajikan,Ala Carte,-7.811684531,110.4022091
Bakso Dan Mie Ayam Barokah 354 Sor Talok,Indonesia,0.75 km,16000,4.6,Santai,Tidak,"Bakmie, Bakso & soto",Tidak,2,1,Disajikan,Ala Carte,-7.808802905,110.3929507
"Mie Kepang Jayakarta, Kusumanegara",Indonesia,1.26 km,42000,4.6,Santai,Ya,"Bakmie, Jajanan, Bakso & soto",Tidak,3,2,Disajikan,Ala Carte,-7.801559954,110.3850156
Warung Sop dan Tongseng Ayam Family,Indonesia,3.1 km,17000,4.2,Santai,Tidak,"Bakso & soto, Ayam & bebek",Tidak,2,3,Disajikan,Ala Carte,-7.826945301,110.3636664
"Ono Dimsum, Timoho",Indonesia,2.84 km,17000,4.6,Santai,Tidak,"Bakso & soto, Cepat saji, Jajanan",Tidak,4,1,Disajikan,Ala Carte,-7.787883875,110.3936769
Bakso Dan Seblak Asgar,Indonesia,0.51 km,17000,4.6,Santai,Ya,"Bakso & soto, Cepat saji, Minuman",Tidak,3,1,Disajikan,Ala Carte,-7.751776136,110.3608264
"Tanamera Coffee Roastery, Yogyakarta",Western,4.03 km,75000,4.5,Santai,Tidak,"Beverages, Coffee, Western",Tidak,3,1,Disajikan,Ala Carte,-7.782305712,110.3675446
"Rembo Chick n Steak, Mantrijeron",Western,3.66 km,15000,3.4,Santai,Tidak,"Chicken & duck, Western, Fast food",Tidak,2,1,Disajikan,Ala Carte,-7.820464769,110.3552221
"Oase Cafe & Coffe, Mergangsan",Chinese,1.3 km,22000,4.6,Santai,Tidak,"Chinese, Aneka nasi, Bakmie",Tidak,2,2,Disajikan,Ala Carte,-7.805174202,110.3774995
Rumah Makan Echo Roso 1,Chinese,3.06 km,27000,4.6,Santai,Tidak,"Chinese, Aneka nasi, Seafood",Tidak,3,2,Disajikan,Ala Carte,-7.84013675,110.3914617
"Vegan Fortunate Coffee, Jogonegaran",Western,3.57 km,45000,4.8,Santai,Ya,"Coffee, Western, Beverages",Tidak,4,3,Disajikan,Ala Carte,-7.793882768,110.3611307
"Onoki Mentai, Depok",Japanese,4.97 km,45000,4.8,Santai,Tidak,"Fast food, Japanese, Rice",Tidak,2,3,Disajikan,Ala Carte,-7.767876872,110.3909205
"Banzai!, Seturan",Japanese,4.56 km,49000,4.7,Formal,Tidak,Japanese,Tidak,3,1,Disajikan,Ala Carte,-7.777161189,110.4084452
"Ichiban Sushi, Plaza Ambarrukmo",Japanese,3.73 km,52000,4.6,Formal,Tidak,Japanese,Tidak,4,3,Disajikan,Ala Carte,-7.781685341,110.401484
Umami House Sushi & Dry Ramen,Japanese,2.74 km,21000,4.5,Santai,Ya,Japanese,Tidak,4,3,Disajikan,Ala Carte,-7.799841742,110.4086701
"Zutto Sushi Homemade, Elang",Japanese,4.71 km,30000,4.4,Santai,Tidak,Japanese,Tidak,2,1,Disajikan,Ala Carte,-7.771561608,110.3979915
"Marugame Udon & Tempura, Plaza Ambarrukmo",Japanese,3.64 km,68000,4.8,Formal,Tidak,"Japanese, Noodles",Tidak,4,3,Disajikan,Ala Carte,-7.781661651,110.4012663
"Warunk Sushi Condong Catur, Depok",Japanese,4.98 km,44000,4.6,Santai,Ya,"Rice, Fast food, Japanese",Tidak,1,2,Disajikan,Ala Carte,-7.769863955,110.4014999
Takoyaki Kuliner Lor Tugu,Japanese,4.06 km,22000,4.2,Santai,Tidak,"Snacks, Beverages, Japanese",Tidak,3,2,Disajikan,Ala Carte,-7.770799292,110.4014569
"Lawson Shop, Mantrijeron",Japanese,3.61 km,44000,4.4,Formal,Tidak,"Snacks, Beverages, Japanese, Coffee, Korean",Tidak,1,3,Disajikan,Ala Carte,-7.819165135,110.3555984
"Veno'S Burger, Mergangsan",Western,2.22 km,40000,4.1,Santai,Ya,"Snacks, Fast food, Western",Tidak,3,1,Disajikan,Ala Carte,-7.818754756,110.3681894
OMAH STEAK AND CHICKEN,Western,2.31 km,34000,4.7,Santai,Tidak,Western,Tidak,3,2,Disajikan,Ala Carte,-7.795679717,110.3994857
"Pondok Cabe Bistro, C Simanjuntak",Western,4.25 km,35000,4.5,Santai,Tidak,"Western, Pizza & pasta, Rice, Chicken & duck, Bakso & soto",Tidak,4,3,Disajikan,Ala Carte,-7.776754988,110.3738471
Waroeng Spaghetti Balapan,Western,3.25 km,25000,4.7,Santai,Ya,"Western, Snacks",Tidak,2,2,Disajikan,Ala Carte,-7.783895883,110.3824602
"Burgerax, Patangpuluhan",Western,4.59 km,38000,4.7,Santai,Tidak,"Western, Snacks, Fast food",Tidak,4,3,Disajikan,Ala Carte,-7.806781869,110.3411863
"Shaburi & Kintan Buffet, Ambarukmo Plaza Yogya",Japanese,3.67 km,330000,4.8,Formal,Tidak,"Japanese, Rice, Chicken & duck",Tidak,1,2,Ambil Sendiri,All You Can Eat,-7.782386552,110.4012905
